Date,Country,City,Specie,count,min,max,median,variance
2019-02-13,KG,Bishkek,pm25,10,129.0,175.0,155.0,2717.33
2019-02-14,KG,Bishkek,wind-speed,10,1.0,4.1,2.5,10.07
2019-02-14,KG,Bishkek,temperature,10,0.0,1.0,0.0,2.78
2019-02-14,KG,Bishkek,humidity,10,93.0,100.0,100.0,110.25
2019-02-14,KG,Bishkek,dew,2,0.5,1.0,0.5,1.25
2019-02-14,KG,Bishkek,pressure,10,1022.0,1023.0,1022.5,2.47
2019-02-14,KG,Bishkek,pm25,24,89.0,158.0,122.0,5763.32
2019-02-15,KG,Bishkek,dew,9,0.5,1.5,1.0,1.11
2019-02-15,KG,Bishkek,pm25,24,65.0,160.0,127.0,10960.9
2019-02-15,KG,Bishkek,temperature,24,-3.1,3.0,0.0,47.02
2019-02-15,KG,Bishkek,wind-speed,24,0.1,4.5,1.5,8.57
2019-02-15,KG,Bishkek,wind-gust,22,0.2,13.8,7.4,243.74
2019-02-15,KG,Bishkek,humidity,24,59.1,100.0,73.8,1888.47
2019-02-15,KG,Bishkek,pressure,24,1008.2,1025.0,1012.5,480.0
2019-02-16,KG,Bishkek,temperature,24,-4.1,8.0,0.0,169.68
2019-02-16,KG,Bishkek,pm25,24,42.0,158.0,65.0,11433.9
2019-02-16,KG,Bishkek,wind-speed,24,0.2,5.2,2.5,19.69
2019-02-16,KG,Bishkek,pressure,24,997.9,1024.0,1005.0,637.34
2019-02-16,KG,Bishkek,humidity,24,47.0,100.0,71.0,1547.45
2019-02-16,KG,Bishkek,wind-gust,24,1.7,16.1,7.8,114.43
2019-02-17,KG,Bishkek,pressure,24,1003.0,1014.9,1009.3,163.08
2019-02-17,KG,Bishkek,wind-speed,24,0.5,8.0,2.2,49.28
2019-02-17,KG,Bishkek,humidity,24,52.5,92.0,77.0,1006.65
2019-02-17,KG,Bishkek,pm25,24,53.0,177.0,109.0,18269.0
2019-02-17,KG,Bishkek,wind-gust,23,2.2,15.5,5.1,212.61
2019-02-17,KG,Bishkek,temperature,24,-9.5,7.5,-4.4,347.23
2019-02-18,KG,Bishkek,pressure,24,1007.0,1013.5,1009.6,43.45
2019-02-18,KG,Bishkek,temperature,24,-9.0,4.0,-2.7,201.43
2019-02-18,KG,Bishkek,humidity,24,51.6,89.0,71.5,1489.69
2019-02-18,KG,Bishkek,pm25,24,38.0,147.0,76.0,7533.84
2019-02-18,KG,Bishkek,wind-speed,24,0.2,6.1,2.5,28.45
2019-02-18,KG,Bishkek,wind-gust,24,1.5,5.0,2.6,9.21
2019-02-19,KG,Bishkek,wind-speed,24,1.0,8.6,3.0,66.62
2019-02-19,KG,Bishkek,temperature,24,-11.7,8.0,-4.6,547.83
2019-02-19,KG,Bishkek,pm25,24,61.0,195.0,91.0,14406.1
2019-02-19,KG,Bishkek,humidity,24,47.0,86.0,77.5,1477.58
2019-02-19,KG,Bishkek,wind-gust,24,6.4,17.3,11.2,75.3
2019-02-19,KG,Bishkek,pressure,24,1007.0,1025.0,1010.5,403.16
2019-02-20,KG,Bishkek,wind-gust,15,0.4,14.0,7.6,215.57
2019-02-20,KG,Bishkek,pressure,24,1010.0,1031.6,1024.5,502.2
2019-02-20,KG,Bishkek,humidity,24,54.8,92.0,76.5,1560.33
2019-02-20,KG,Bishkek,dew,3,0.5,0.5,0.5,0.0
2019-02-20,KG,Bishkek,wind-speed,24,0.5,8.7,3.7,61.31
2019-02-20,KG,Bishkek,temperature,24,-13.7,5.0,-8.3,405.62
2019-02-20,KG,Bishkek,pm25,24,59.0,149.0,85.0,5091.88
2019-02-21,KG,Bishkek,pm25,24,53.0,163.0,76.0,9292.59
2019-02-21,KG,Bishkek,pressure,24,1009.5,1033.0,1024.5,633.26
2019-02-21,KG,Bishkek,humidity,24,58.6,92.0,84.6,639.77
2019-02-21,KG,Bishkek,wind-gust,22,1.6,18.1,8.0,201.75
2019-02-21,KG,Bishkek,temperature,24,-7.1,0.0,-3.0,51.64
2019-02-21,KG,Bishkek,wind-speed,24,0.7,7.5,3.6,30.49
2019-02-22,KG,Bishkek,wind-gust,24,8.8,16.8,11.8,53.68
2019-02-22,KG,Bishkek,pressure,24,1023.5,1032.0,1027.0,97.1
2019-02-22,KG,Bishkek,wind-speed,24,0.2,7.2,2.5,35.67
2019-02-22,KG,Bishkek,temperature,24,-7.0,5.0,-4.0,161.5
