Day,PM1(mcg/m³),PM10(mcg/m³),PM2.5(mcg/m³),AQI US,NO(mcg/m³),NO2(mcg/m³),CH2O(mcg/m³),SO2(mcg/m³),Temperature(°C),Humidity(%),CH4 
2021-06-20,6.26,58.65,21.02,68.29,0.0,45.87,0.0,0.0,19.76,44.81,0.0
2021-06-21,5.61,66.03,15.63,56.14,0.0,21.66,0.0,0.0,23.5,37.54,0.0
2021-06-22,6.38,69.9,11.6,44.3,0.0,20.43,0.0,0.0,23.31,32.35,0.0
2021-06-23,6.43,69.69,12.4,46.4,0.0,20.18,0.0,0.0,23.28,33.41,0.0
2021-06-24,5.66,71.4,11.68,45.06,0.0,24.93,0.0,0.0,25.21,34.48,0.0
2021-06-25,3.45,54.38,9.24,35.92,0.0,29.77,0.0,0.0,21.86,50.72,0.0
2021-06-26,6.1,69.38,11.99,44.89,0.0,17.15,0.0,0.0,23.72,35.26,0.0
2021-06-27,6.47,75.95,16.71,58.28,0.0,19.24,0.0,0.0,26.17,30.36,0.0
2021-06-28,5.83,78.27,14.32,53.17,0.0,26.16,0.0,0.0,28.03,29.99,0.0
2021-06-29,5.75,83.72,14.52,53.85,0.0,22.61,0.0,0.0,30.5,27.07,0.0
2021-06-30,6.01,86.42,14.46,54.19,0.0,22.77,0.0,0.0,31.19,23.48,0.0
2021-07-01,5.98,85.31,16.54,59.31,0.0,30.11,0.0,0.0,30.73,23.43,0.0
2021-07-02,5.6,83.87,16.3,58.9,0.0,34.35,0.0,0.0,30.74,25.99,0.0
2021-07-03,5.28,79.95,14.19,53.02,0.0,33.07,0.0,0.0,29.58,30.13,0.0
2021-07-04,4.96,80.48,11.64,45.27,0.0,29.8,0.0,0.0,30.33,31.94,0.0
2021-07-05,4.97,84.02,13.86,51.66,0.0,25.92,0.0,0.0,31.83,27.99,0.0
2021-07-06,5.39,82.23,15.4,56.2,0.0,33.77,0.0,0.0,30.46,29.7,0.0
2021-07-07,4.85,84.97,14.86,54.95,0.0,24.34,0.0,0.0,32.42,26.81,0.0
2021-07-08,4.48,87.04,16.96,60.82,0.0,26.1,0.0,0.0,34.0,23.13,0.0
2021-07-09,4.69,86.21,15.59,57.47,0.0,31.6,0.0,0.0,32.85,26.12,0.0
2021-07-10,4.68,77.54,12.57,47.55,0.0,29.46,0.0,0.0,29.03,35.67,0.0
2021-07-11,5.3,76.51,12.99,50.47,0.0,25.77,0.0,0.0,26.93,33.69,0.0
2021-07-12,5.0,77.01,12.91,49.37,0.0,23.8,0.0,0.0,28.42,33.46,0.0
2021-07-13,4.92,72.54,11.99,46.06,0.0,28.66,0.0,0.0,26.69,35.96,0.0
2021-07-14,3.03,58.38,11.42,44.45,0.0,34.28,0.0,0.0,24.17,49.1,0.0
2021-07-15,2.66,53.44,12.54,47.8,0.0,35.12,0.0,0.0,22.97,54.09,0.0
2021-07-16,3.66,59.9,8.16,31.6,0.0,24.67,0.0,0.0,24.06,49.38,0.0
2021-07-17,5.33,74.24,10.4,40.17,0.0,17.97,0.0,0.0,27.12,35.46,0.0
2021-07-18,5.81,78.06,12.92,48.28,0.0,16.67,0.0,0.0,28.03,30.83,0.0
2021-07-19,6.33,83.86,13.53,50.6,0.0,16.67,0.0,0.0,29.64,25.79,0.0
2021-07-20,6.03,84.44,14.9,55.43,0.0,21.35,0.0,0.0,30.4,25.0,0.0
2021-07-21,5.22,74.28,11.25,44.02,0.0,32.27,0.0,0.0,27.12,33.91,0.0
2021-07-22,5.17,78.0,11.91,45.06,0.0,24.31,0.0,0.0,28.96,32.69,0.0
2021-07-23,5.33,80.78,13.3,50.6,0.0,26.69,0.0,0.0,29.95,29.89,0.0
2021-07-24,5.09,84.3,15.54,56.6,0.0,25.97,0.0,0.0,31.88,27.97,0.0
2021-07-25,5.5,88.49,15.79,57.48,0.0,26.42,0.0,0.0,33.06,24.77,0.0
2021-07-26,5.47,90.87,15.4,56.66,0.0,28.97,0.0,0.0,34.06,23.11,0.0
2021-07-27,4.5,78.23,12.33,48.16,0.0,28.82,0.0,0.0,30.18,33.01,0.0
2021-07-28,4.92,75.88,12.43,47.89,0.0,24.69,0.0,0.0,28.46,33.5,0.0
